Time,blank,blank,blank,M24 pH 8.0 NF 80,M24 pH 8.0 NF 80,M24 pH 8.0 NF 80,M24 pH 8.0 NF 40,M24 pH 8.0 NF 40,M24 pH 8.0 NF 40,M24 pH 8.0 NF 20,M24 pH 8.0 NF 20,M24 pH 8.0 NF 20,M24 pH 8.0 NF 10,M24 pH 8.0 NF 10,M24 pH 8.0 NF 10,M24 pH 8.0 NF 5,M24 pH 8.0 NF 5,M24 pH 8.0 NF 5
128.5,2551,2216,2346,117978,115809,113437,56635,53294,49214,28112,25984,26628,12566,12614,11510,7296,7024,6523
129,2462,2188,2382,118424,115361,113159,56533,52816,48931,28063,25512,26292,12472,12656,11667,7250,7013,6588
129.5,2438,2275,2463,117844,116960,112854,56059,52620,49634,27915,25968,26497,12454,12511,11434,7190,7003,6475
130,2516,2248,2434,117796,115975,113728,55937,52886,48990,28106,25690,26348,12540,12738,11548,7232,6994,6621
130.5,2448,2277,2348,117629,115529,113667,56170,52754,49291,28027,25774,26160,12488,12540,11436,7270,6983,6570
131,2484,2208,2380,116463,115280,113731,56148,52696,48949,28021,25634,26203,12546,12433,11454,7318,7120,6638
131.5,2443,2242,2386,116923,115009,113105,55788,52873,48766,27725,25864,26386,12536,12705,11574,7313,7087,6602
132,2489,2231,2495,118260,115902,113030,55953,52851,49220,27929,25596,26339,12365,12610,11492,7232,7046,6560
132.5,2466,2335,2419,117338,115414,112696,55354,52515,49070,27753,25610,26360,12359,12564,11554,7346,7018,6612
133,2543,2223,2323,117901,115120,113117,56823,52856,48732,27723,25520,26387,12446,12586,11564,7320,7066,6607
133.5,2454,2293,2458,117181,115100,112733,55566,52094,48900,27984,25602,26113,12558,12619,11553,7248,7008,6533
134,2497,2256,2387,117030,115345,113090,55447,52456,48728,27808,25628,26447,12565,12624,11597,7248,7048,6563
134.5,2438,2230,2390,116980,115813,112638,55387,52183,49248,27797,25491,26120,12462,12586,11488,7234,7092,6682
135,2410,2267,2386,116320,115463,111888,55361,52466,48342,27700,25326,26082,12444,12719,11502,7296,7157,6678
135.5,2463,2262,2475,116286,115465,112770,55583,52218,48957,27466,25303,26117,12443,12597,11527,7312,7093,6568
136,2446,2266,2392,114521,113958,111733,55866,52134,47917,27613,25374,26431,12400,12546,11432,7234,7122,6643
136.5,2490,2214,2459,115419,113912,111535,55459,52219,48349,27435,25352,26176,12297,12607,11538,7214,7158,6633
137,2479,2252,2434,117001,114664,111942,55903,52343,48739,27707,25395,26078,12410,12452,11386,7335,7038,6575
137.5,2444,2343,2451,115992,114241,111715,55306,51878,48654,27632,25343,26147,12362,12536,11415,7301,7094,6643
138,2442,2218,2369,117292,114899,112348,55692,52361,48756,27725,25382,26180,12465,12575,11510,7286,7184,6664
138.5,2479,2272,2365,117090,114856,111770,55266,51700,48632,27525,25293,25939,12445,12465,11423,7238,7086,6690
139,2477,2226,2339,115908,114408,111477,55416,51849,48618,27614,25288,26064,12517,12499,11500,7371,7096,6718
139.5,2406,2200,2371,115832,114512,111875,55299,52110,48251,27596,25295,25898,12396,12512,11450,7351,7204,6609
140,2478,2320,2456,116362,113578,111411,55473,51690,48420,27317,25155,25898,12388,12553,11457,7316,7263,6706
140.5,2479,2226,2366,115268,113720,111474,55178,52084,47662,27514,25265,26105,12414,12550,11528,7279,7029,6772
141,2479,2244,2395,116136,114680,111550,55126,51835,47979,27442,25380,25859,12432,12570,11546,7254,7149,6670
141.5,2453,2311,2366,115935,114621,111898,54942,51765,47843,27511,25157,25909,12415,12627,11460,7273,7129,6678
142,2494,2355,2484,115855,115188,111114,55123,51708,48122,27481,25080,25912,12285,12489,11384,7278,7216,6753
142.5,2471,2204,2316,116163,113712,111258,55104,51496,47980,27393,25242,26136,12468,12527,11523,7306,7195,6668
143,2379,2214,2415,115796,113996,111382,54768,51193,47934,27424,25257,26124,12426,12505,11437,7294,7205,6690
143.5,2462,2202,2356,115086,113116,111824,54159,51386,48088,27209,25038,25953,12307,12492,11483,7279,7087,6702
144,2463,2174,2414,116111,113978,111216,54521,51413,47942,27493,25124,25681,12433,12579,11504,7228,7168,6694
144.5,2425,2289,2522,113991,113638,110490,55361,50977,47213,27428,25038,25717,12460,12438,11386,7358,7242,6655
145,2476,2318,2505,113324,112889,110441,54635,50960,47599,27288,25050,25648,12473,12480,11524,7278,7206,6810
145.5,2462,2241,2469,115177,113400,111268,55073,51598,47852,27250,24983,25948,12447,12563,11528,7324,7220,6767
146,2428,2354,2453,114500,112044,109716,54563,51116,46787,27443,24980,25738,12320,12559,11449,7316,7160,6733
146.5,2484,2323,2512,112928,112201,109717,55215,51312,47534,27274,24878,25681,12313,12450,11456,7372,7208,6746
147,2462,2198,2337,115909,113361,111037,54912,51127,47332,27258,25069,25530,12346,12413,11639,7338,7209,6663
147.5,2487,2287,2342,115222,113612,111395,54610,51040,47713,27260,24842,25644,12442,12527,11469,7320,7172,6812
148,2405,2366,2504,114672,113233,110185,54752,51131,47668,27036,24935,25662,12297,12360,11478,7256,7232,6702
148.5,2404,2298,2474,114936,112026,109509,54679,51014,47482,27048,24702,25825,12382,12453,11420,7266,7260,6806
149,2466,2272,2460,114923,114126,110320,54236,50565,47606,26975,24828,25546,12457,12531,11490,7274,7172,6726
149.5,2495,2193,2359,114960,113292,110026,54676,51032,47276,27154,25044,25709,12342,12418,11525,7172,7218,6846
