Time,Buffer,Buffer,Buffer,EAS 80,EAS 40,EAS 20,EAS 10,EAS 5
284.5,2672,2353,2390,73835,48513,17669,13431,4928
285,2643,2452,2326,74347,48720,17638,13326,4922
285.5,2690,2353,2353,74037,48851,17684,13282,4909
286,2715,2356,2305,73527,48702,17512,13477,4900
286.5,2681,2359,2362,74174,48890,17537,13453,4909
287,2679,2382,2395,73823,48790,17506,13407,4830
287.5,2662,2418,2357,73755,48579,17438,13439,4855
288,2644,2418,2351,73928,48693,17513,13410,4898
288.5,2666,2376,2363,74281,48833,17318,13428,4872
289,2658,2370,2306,74179,48850,17487,13390,4999
289.5,2591,2344,2330,73987,48898,17528,13333,4887
290,2616,2417,2417,73983,48492,17517,13363,4851
290.5,2648,2345,2336,73832,48669,17642,13472,4968
291,2644,2418,2330,74098,48640,17560,13313,4930
291.5,2616,2424,2334,73772,48737,17519,13338,4890
292,2648,2440,2446,73648,48446,17478,13258,4822
292.5,2668,2477,2430,73445,48515,17300,13325,4860
293,2675,2478,2443,73984,48466,17595,13322,4884
293.5,2698,2458,2352,73254,48634,17350,13455,4947
294,2653,2484,2437,73663,48218,17427,13388,4813
294.5,2671,2380,2434,73746,48557,17745,13355,4864
295,2652,2396,2426,73978,48567,17413,13307,4938
295.5,2642,2302,2342,72903,48815,17555,13498,4828
296,2672,2400,2386,73435,48528,17514,13366,4836
296.5,2590,2504,2448,73160,48333,17540,13436,4848
297,2692,2338,2339,73161,48256,17582,13406,4879
297.5,2645,2430,2418,73165,48472,17591,13374,4878
298,2693,2388,2448,73226,48457,17476,13321,4886
298.5,2691,2409,2365,72942,48481,17415,13384,4897
299,2666,2401,2344,72779,48152,17395,13456,4844
299.5,2673,2414,2283,73154,48156,17297,13364,4849
