Time,EAS 20,EAS 10
0,4148,3811
0.5,5500,4672
1,6853,6337
1.5,7506,7251
2,8324,8016
2.5,9069,8398
3,9873,8714
3.5,10546,9303
4,11266,9542
4.5,12307,10198
5,13064,10725
5.5,13320,10975
6,14049,11273
6.5,14396,11446
7,14770,11708
7.5,15208,11906
8,15630,12024
8.5,16322,12370
9,16503,12340
9.5,16770,12662
10,16921,12610
10.5,17191,12778
11,17330,12942
11.5,17450,12961
12,17591,13064
12.5,17739,13099
13,18032,13287
13.5,18204,13103
14,17895,13308
14.5,18183,13465
15,18166,13566
15.5,18354,13555
16,18300,13654
16.5,18504,13666
17,18541,13658
17.5,18642,13618
18,18592,13618
18.5,18607,13838
19,18788,13815
19.5,18884,13864
20,18927,13903
20.5,18839,14003
21,18903,13958
21.5,18972,14043
22,19023,14041
22.5,18910,14175
23,19144,14132
23.5,18961,13910
24,19080,14111
24.5,19138,14144
25,19280,14204
25.5,19287,14152
26,19316,14299
26.5,19370,14344
27,19314,14302
27.5,19267,14242
28,19401,14313
28.5,19395,14313
29,19440,14370
29.5,19227,14481
30,19450,14412
30.5,19414,14324
31,19380,14495
31.5,19514,14425
32,19517,14406
32.5,19458,14576
33,19676,14531
33.5,19741,14500
34,19618,14643
34.5,19630,14615
35,19728,14564
35.5,19698,14634
36,19888,14749
36.5,19771,14553
37,19772,14541
37.5,19886,14532
38,19916,14641
38.5,19851,14661
39,19888,14613
39.5,19871,14755
40,19753,14684
40.5,19869,14732
41,19712,14847
41.5,19780,14626
42,19749,14843
42.5,19846,14740
43,19869,14726
43.5,19974,14736
44,19996,14742
44.5,19860,14665
45,19862,14809
45.5,20058,14852
46,19858,14784
46.5,20141,14804
47,19951,14660
47.5,19883,14800
48,19846,14776
48.5,19938,14673
49,20177,14884
49.5,19991,14744
50,19952,14711
50.5,19988,14651
51,20174,14923
51.5,20017,14781
52,19934,14859
52.5,20058,14802
53,19887,14928
53.5,20097,15002
54,20010,14733
54.5,20114,14833
55,20091,14744
55.5,20020,14839
56,20267,14851
56.5,20049,14676
57,20175,14698
57.5,20159,14710
58,20273,14769
58.5,20211,14894
59,20172,14820
59.5,19955,14816
60,20164,14752
60.5,20140,14872
61,19983,14919
61.5,20151,14952
62,20133,14828
62.5,20213,14860
63,20066,15012
63.5,20154,14774
64,20006,14920
64.5,20074,14706
65,20091,14719
65.5,19937,14867
66,20266,14798
66.5,20062,14793
67,19925,14733
67.5,19742,14803
68,19744,14688
68.5,19847,14559
69,20174,14833
69.5,19926,14614
70,20039,14861
70.5,20084,14553
71,20066,14690
71.5,19984,14691
72,20011,14762
72.5,20130,14692
73,20208,14820
73.5,19960,14590
74,20020,14740
74.5,20044,14562
75,20119,14690
75.5,19726,14634
76,20016,14590
76.5,19974,14574
77,20114,14749
77.5,20026,14639
78,20134,14614
78.5,19939,14643
79,20098,14588
79.5,19813,14606
80,19937,14567
80.5,19920,14610
81,20091,14610
81.5,19832,14422
82,19723,14608
82.5,19950,14546
83,19844,14551
83.5,19977,14511
84,19980,14505
84.5,19884,14479
85,19851,14608
