Time,Buffer,Buffer,Buffer,M24 80,M24 40,M24 20,M24 10,M24 5
58,2761,2502,2409,82876,55187,27429,13415,5651
58.5,2807,2588,2544,83939,55014,27336,13479,5688
59,2777,2478,2574,82569,54737,27393,13448,5712
59.5,2836,2545,2451,82636,54829,27037,13476,5613
60,2768,2532,2475,82802,54606,27188,13418,5718
60.5,2738,2471,2457,83224,54616,27011,13456,5652
61,2752,2472,2470,82530,54999,27189,13594,5627
61.5,2758,2542,2517,83530,54148,27155,13555,5709
62,2734,2518,2454,82750,54575,27337,13480,5680
62.5,2758,2544,2528,82235,54222,27185,13471,5625
63,2778,2476,2502,82448,54614,27106,13351,5622
63.5,2836,2552,2462,82520,54362,27180,13486,5673
64,2782,2529,2493,82370,54025,27282,13527,5623
64.5,2778,2494,2468,82336,54090,26989,13407,5648
65,2770,2635,2490,81531,53725,26718,13420,5662
65.5,2705,2513,2433,81531,54194,27027,13383,5722
66,2782,2465,2425,81489,53613,26831,13299,5748
66.5,2773,2562,2444,82240,53907,26799,13466,5592
67,2800,2523,2532,82164,53467,26753,13345,5597
67.5,2768,2599,2459,81736,53638,26664,13377,5634
68,2758,2466,2436,81881,53518,26795,13490,5622
68.5,2770,2598,2545,81605,53571,26651,13452,5629
69,2717,2505,2461,81941,53336,26548,13499,5562
69.5,2746,2549,2451,81231,53108,26620,13301,5589
70,2787,2597,2485,81966,53496,26661,13313,5705
70.5,2818,2542,2527,81628,53565,26573,13198,5567
71,2802,2542,2430,81946,53512,26399,13362,5567
71.5,2792,2424,2486,80848,53200,26753,13407,5562
72,2774,2520,2462,81364,53369,26744,13314,5556
72.5,2748,2449,2452,81302,53086,26456,13209,5559
73,2798,2564,2508,80818,53032,26575,13308,5593
73.5,2746,2440,2406,80714,52810,26638,13282,5592
74,2763,2469,2451,80942,52913,26716,13412,5510
74.5,2811,2476,2486,80552,53254,26462,13253,5595
75,2782,2456,2434,80932,52743,26540,13255,5516
75.5,2814,2549,2454,80410,53061,26545,13410,5514
76,2805,2497,2414,80448,52471,26588,13128,5648
76.5,2767,2475,2374,80392,52787,26239,13227,5607
77,2780,2624,2550,79978,52336,26262,13183,5560
77.5,2771,2567,2480,79967,52158,26310,13262,5612
78,2720,2503,2454,79573,52100,26652,13360,5584
78.5,2782,2529,2535,80237,52552,26314,13180,5657
79,2790,2465,2445,80197,52496,26002,13331,5552
79.5,2739,2538,2412,79540,52180,26478,13164,5505
80,2828,2501,2441,79920,52295,26202,13150,5605
80.5,2795,2489,2435,79705,52184,26256,13429,5584
81,2758,2493,2412,79092,52334,26297,13209,5538
81.5,2774,2454,2420,79618,52179,26198,13260,5529
82,2754,2494,2474,79396,51862,26069,13216,5573
82.5,2768,2564,2406,79699,52069,26262,13122,5496
83,2770,2580,2485,79809,51843,26066,13238,5531
83.5,2756,2477,2438,79525,52097,26069,13279,5557
84,2809,2592,2474,78549,52093,26164,13237,5668
84.5,2795,2502,2385,79386,50864,25840,13204,5546
85,2738,2494,2446,79390,51923,25994,13150,5544
85.5,2725,2438,2417,78722,51662,26018,13111,5545
86,2745,2510,2532,78116,51892,26183,13053,5518
86.5,2796,2592,2504,78638,51426,26118,13074,5487
87,2773,2536,2439,79000,51382,26327,13141,5495
87.5,2767,2528,2554,78389,51155,25799,13172,5492
88,2742,2542,2403,78187,51854,25863,13099,5556
88.5,2759,2552,2448,78308,51676,25928,13245,5462
89,2754,2430,2377,78001,51678,25819,13180,5635
89.5,2775,2503,2514,79208,51323,26079,13153,5479
90,2721,2442,2450,78165,51149,25652,13116,5461
90.5,2720,2448,2365,78978,51355,25771,13156,5471
91,2766,2519,2404,78170,51080,25818,13146,5491
