Time,Buffer,Buffer,Buffer,M24 80,M24 40,M24 20,M24 10,M24 5
253.5,2641,2500,2426,61814,42286,22072,11768,4612
254,2634,2577,2345,61520,41907,22106,11749,4593
254.5,2667,2504,2369,61726,42214,22088,11688,4638
255,2702,2431,2451,61188,42118,22039,11728,4590
255.5,2692,2330,2382,61253,41825,22112,11783,4617
256,2682,2458,2426,60991,41964,22048,11682,4632
256.5,2674,2493,2357,61549,42172,22009,11724,4566
257,2654,2380,2312,60692,41998,22039,11648,4658
257.5,2710,2420,2394,61440,41724,21722,11648,4574
258,2709,2400,2359,61552,42357,22208,11681,4584
258.5,2671,2472,2430,60867,41674,22098,11667,4525
259,2702,2487,2402,61235,41651,21761,11713,4588
259.5,2686,2459,2448,61106,41802,21761,11676,4623
260,2690,2423,2378,61121,41859,22071,11566,4622
260.5,2700,2459,2389,60979,42113,21987,11648,4677
261,2616,2458,2416,60690,41738,21966,11630,4578
261.5,2621,2436,2449,60810,42026,21892,11641,4486
262,2672,2385,2349,60727,41946,21710,11748,4562
262.5,2652,2460,2396,60654,41558,21958,11666,4552
263,2638,2393,2426,60464,41331,21756,11551,4618
263.5,2696,2447,2376,60688,41724,22151,11609,4575
264,2678,2456,2318,60658,42150,21979,11676,4688
264.5,2661,2396,2390,61018,41627,21860,11670,4608
265,2678,2426,2448,60327,41647,21974,11512,4580
265.5,2686,2544,2412,60508,41869,22028,11573,4595
266,2672,2424,2399,60428,41516,21888,11558,4634
266.5,2685,2379,2332,59948,41520,22058,11606,4636
267,2654,2430,2419,60250,41667,21838,11614,4574
267.5,2661,2396,2327,60177,41697,21883,11594,4651
268,2691,2368,2330,60079,41748,21904,11651,4560
268.5,2678,2464,2416,60432,41407,21911,11543,4569
269,2635,2475,2434,60204,41334,21783,11526,4651
269.5,2659,2465,2380,59872,41533,21906,11573,4586
270,2657,2485,2501,60153,41608,21782,11599,4592
270.5,2686,2338,2381,60385,41584,21712,11523,4613
271,2689,2436,2402,59847,41524,21828,11598,4543
271.5,2688,2437,2342,59887,41331,21703,11492,4624
272,2683,2476,2379,60272,41402,21584,11594,4626
272.5,2683,2360,2403,60332,41496,21903,11573,4593
273,2706,2489,2399,59901,41666,21727,11474,4632
273.5,2668,2416,2311,59796,41256,21754,11540,4547
274,2668,2387,2338,59660,41746,21822,11625,4646
274.5,2624,2496,2466,59940,40980,21675,11559,4672
275,2650,2467,2421,59792,41076,21750,11688,4586
275.5,2694,2431,2372,59434,41149,21723,11459,4662
276,2656,2406,2392,60160,41478,21822,11598,4554
276.5,2682,2349,2351,59882,41349,21676,11618,4485
277,2626,2426,2372,58954,40901,21608,11642,4580
277.5,2601,2371,2358,59258,40934,21586,11501,4647
278,2674,2453,2346,59522,40969,21808,11572,4584
278.5,2638,2495,2314,59318,40953,21705,11488,4521
279,2731,2441,2470,59822,41468,21792,11670,4574
279.5,2691,2407,2387,59088,41108,21745,11581,4538
280,2658,2464,2410,59512,41412,21962,11575,4596
280.5,2675,2422,2352,59412,40985,21776,11494,4626
281,2661,2387,2328,59240,40915,21596,11362,4645
281.5,2627,2427,2365,59221,40798,21640,11400,4600
282,2646,2454,2345,59370,41106,21669,11472,4631
282.5,2653,2481,2384,59177,40311,21650,11474,4628
283,2652,2482,2429,59442,41071,21596,11528,4565
283.5,2600,2424,2353,58989,40479,21659,11312,4522
284,2621,2487,2397,58910,41020,21630,11461,4536
284.5,2672,2353,2390,59220,40674,21735,11459,4630
285,2643,2452,2326,59156,40982,21522,11422,4620
285.5,2690,2353,2353,58726,40644,21785,11441,4646
286,2715,2356,2305,58823,40775,21644,11423,4640
286.5,2681,2359,2362,58923,40446,21345,11311,4515
287,2679,2382,2395,58907,40776,21854,11401,4537
287.5,2662,2418,2357,58399,40651,21687,11399,4574
288,2644,2418,2351,59009,40400,21609,11498,4580
288.5,2666,2376,2363,59313,41149,21695,11365,4491
289,2658,2370,2306,58630,40341,21491,11284,4685
289.5,2591,2344,2330,58855,40520,21615,11402,4592
290,2616,2417,2417,58427,40819,21530,11276,4592
290.5,2648,2345,2336,58829,40884,21471,11427,4670
291,2644,2418,2330,58705,40568,21523,11333,4622
291.5,2616,2424,2334,58581,40391,21419,11382,4577
292,2648,2440,2446,58226,40250,21374,11367,4613
292.5,2668,2477,2430,58230,40744,21572,11385,4664
293,2675,2478,2443,58346,40483,21559,11374,4604
293.5,2698,2458,2352,58004,40793,21534,11448,4618
294,2653,2484,2437,58170,40414,21424,11284,4583
294.5,2671,2380,2434,58138,40841,21468,11261,4611
295,2652,2396,2426,58224,40516,21443,11193,4566
295.5,2642,2302,2342,58130,40584,21355,11440,4591
296,2672,2400,2386,58210,40454,21470,11359,4672
296.5,2590,2504,2448,58227,40294,21340,11276,4533
297,2692,2338,2339,58172,40610,21228,11269,4605
297.5,2645,2430,2418,57998,40226,21579,11368,4570
298,2693,2388,2448,57943,40543,21392,11284,4578
298.5,2691,2409,2365,57933,40447,21566,11418,4538
299,2666,2401,2344,57648,40354,21172,11306,4609
299.5,2673,2414,2283,57993,39866,21076,11305,4512
