73,84970.5,47995,20107.5,13341.5
73.5,85853.5,47854.5,20038.5,13238.5
74,85134,47946.5,20049.5,13258
74.5,85092.5,47688.5,20044,13214
75,86053.5,47830,20113.5,13261
75.5,85532,47828,19854.5,13166
76,85791,47918,20059,13187
76.5,85732.5,47900,20067,13204
77,86080,48051.5,20089.5,13247.5
77.5,86097.5,47962,19999.5,13221.5
78,86327,48209,20111.5,13259
78.5,85674,47700,19981,13206.5
79,85507.5,47750.5,20034,13192
79.5,86106,47790,19921.5,13142
80,85606.5,47593,19984.5,13127
80.5,85893.5,47787.5,19983,13128
81,85927,48071,20092.5,13167.5
81.5,86182,47788,19967.5,13160
82,85835,47920.5,19988,13207
82.5,85303.5,47705,19941.5,13135
83,85898,47676,19918.5,13127.5
83.5,85485,47749.5,19956,13134.5
84,85821.5,47658.5,19978,13144
84.5,85585.5,47814,19940,13114.5
85,85744,47835.5,19899.5,13230
85.5,85598,47724.5,20019.5,13177
86,85631.5,47640,19911,13153
86.5,85639,47705,19902.5,13139
87,85388,47732.5,19850.5,13230
87.5,85791.5,47519.5,20037.5,13216.5
88,85315,47484,19879.5,13102.5
88.5,85431.5,47412.5,19938.5,13050.5
89,85600,47297,19844.5,13184.5
89.5,85439.5,47611.5,19780,13210
90,85175.5,47480,19798,13142.5
