Time,blank,blank,blank,EAS 80,EAS 80,EAS 80,EAS 40 ,EAS 40,EAS 40,EAS 20,EAS 20,EAS 20,EAS 10,EAS 10,EAS 10,EAS 5,EAS 5,EAS 5
27,2495,2361,2396,19624,20035,20810,37678,37354,36376,20322,20192,19977,11983,11490,11500,6839,6872,5575
27.5,2412,2262,2161,19978,20512,21515,37864,37788,36528,20525,20052,20085,12044,11412,11478,6840,7006,5630
28,2464,2291,2249,20422,20362,22034,37935,38188,37012,20567,20238,20084,11869,11516,11356,6919,7008,5659
28.5,2489,2279,2228,20877,20752,23026,38642,38008,37086,20701,20227,20170,12058,11522,11472,6928,7053,5705
29,2469,2336,2282,21109,21274,23006,38227,38667,37332,20528,20222,20060,12094,11565,11495,6900,7048,5686
29.5,2428,2272,2262,21725,21895,23209,38779,38382,37648,20584,20049,20154,12031,11374,11600,6928,7026,5815
30,2491,2249,2257,22323,23242,24300,38938,38550,37430,20533,20235,19955,12080,11441,11396,6996,7066,5822
30.5,2473,2207,2266,22577,23876,24842,38916,38366,37705,20786,20326,20157,12094,11439,11508,6992,7089,5812
31,2490,2270,2230,23002,23726,25211,39370,38854,37682,20589,20285,20104,12071,11462,11509,6934,7106,5876
31.5,2504,2260,2197,23552,23706,25458,39408,38950,38105,20580,20434,20188,12147,11412,11577,6946,7108,5858
32,2470,2261,2182,23853,24412,25943,39406,39012,37939,20628,20101,20212,11991,11488,11556,7123,7076,5913
32.5,2408,2314,2246,24180,25441,26535,39527,39337,38274,20730,20398,19972,11922,11432,11527,7054,7133,5936
33,2431,2252,2234,24884,25770,27575,39382,38994,38313,20683,20060,19934,11940,11536,11449,7120,7020,5879
33.5,2480,2262,2227,25822,25986,28037,39623,39265,38098,20748,20297,20122,12092,11481,11448,6979,7003,5957
34,2479,2261,2290,26291,26592,28894,39940,39375,38596,20598,20328,20053,12064,11456,11585,7017,6980,6024
34.5,2476,2242,2215,26952,27551,29931,39630,39578,38533,20509,20042,20010,11914,11501,11488,7103,6968,6011
35,2478,2233,2204,27332,27862,30042,39757,39348,38382,20508,20259,20030,12012,11483,11490,7048,7048,6060
35.5,2504,2231,2231,27817,28815,30794,39984,39420,38449,20706,20333,20030,12065,11555,11463,7034,7013,5924
36,2517,2324,2268,28270,29399,31280,39996,39603,38842,20678,20441,19890,11974,11468,11567,7139,6837,5953
36.5,2472,2291,2244,29035,29684,31865,40023,39720,38643,20692,20288,20084,12102,11624,11476,6994,6952,6014
37,2466,2277,2198,29540,30592,32876,40072,39605,38786,20467,20173,20124,11966,11552,11512,7014,6936,5963
37.5,2462,2196,2238,30558,31711,34415,39831,39706,39148,20707,20271,20006,12064,11593,11635,6948,6882,6084
38,2466,2262,2222,31187,32131,35018,39847,39554,38504,20721,20170,20113,12142,11546,11529,7068,6908,5983
38.5,2477,2250,2230,31325,32557,35175,40238,39953,38613,20595,20164,19945,11989,11580,11575,7025,6802,6048
39,2450,2249,2177,32474,33442,36440,40094,39898,38885,20662,20302,20058,11972,11458,11495,7007,6944,5969
39.5,2480,2256,2181,33095,34230,37256,39930,39838,38844,20553,20101,20088,12003,11654,11430,6990,6864,6004
40,2468,2302,2211,34011,34816,37436,40038,39944,38999,20440,20252,20184,12044,11503,11422,7005,6777,5992
40.5,2478,2271,2230,34742,35184,38496,40106,39810,38883,20473,20416,20054,12014,11474,11560,6957,6813,5947
41,2455,2204,2230,35674,36751,39616,40119,39695,38772,20586,20052,20074,12072,11390,11570,6958,6812,6010
41.5,2444,2232,2201,36357,37299,40982,40079,39654,38986,20545,20098,20023,12120,11559,11600,6935,6753,5900
42,2443,2242,2233,37574,38650,42032,40215,40070,38660,20612,20191,20010,11997,11512,11395,6914,6752,5914
42.5,2419,2309,2291,38538,40495,44002,40630,39904,39138,20559,20130,19920,12008,11480,11497,6980,6692,5912
43,2500,2283,2178,39066,40218,44085,40258,39628,38694,20594,20219,19980,11970,11455,11520,6876,6669,5940
43.5,2519,2263,2214,40574,41966,45572,40213,39848,38645,20603,20389,20013,11896,11596,11582,6885,6653,6020
44,2415,2281,2224,41889,43002,47348,40267,39786,38940,20628,20093,20114,11981,11571,11486,6795,6671,5999
44.5,2422,2320,2322,42467,43756,48612,40215,39706,38812,20613,20299,19986,11963,11629,11489,6974,6740,5871
45,2440,2176,2257,43796,45340,49454,40450,40208,38770,20530,20082,19800,12057,11511,11391,6762,6638,5982
45.5,2467,2272,2164,44821,46736,51159,39910,39685,38849,20480,20309,19980,12094,11654,11456,6855,6555,5966
46,2444,2309,2200,46196,47765,52035,40299,39830,38907,20555,19989,20029,11962,11538,11683,6905,6632,5981
46.5,2444,2214,2194,47547,48926,53368,40209,39887,39016,20431,20078,19968,11992,11521,11424,6842,6655,5910
47,2458,2301,2229,48342,50457,54457,40002,40236,38760,20634,20240,19932,11993,11355,11438,6882,6592,5855
47.5,2386,2292,2242,50082,51608,56350,40202,39632,38843,20586,20178,19869,12036,11435,11441,6795,6606,5854
48,2522,2243,2257,51280,53631,58109,40078,39733,38254,20436,20089,20054,11963,11580,11327,6899,6588,5926
48.5,2462,2232,2176,53135,54686,59754,39986,39638,38549,20399,19943,19860,11970,11487,11495,6782,6519,5861
49,2455,2249,2203,54529,55920,61306,39975,39942,38769,20522,19910,19849,12001,11464,11548,6759,6557,5959
49.5,2479,2264,2283,55584,57757,62943,39842,39970,38744,20341,20046,20011,12008,11519,11489,6801,6497,5884
50,2440,2303,2146,57064,59356,64014,39801,39686,38475,20241,20010,19864,12018,11465,11439,6828,6581,5896
50.5,2500,2319,2288,58722,61068,65154,39755,39694,38744,20329,20028,19768,11909,11465,11464,6688,6550,5802
51,2456,2248,2355,60189,62214,66886,39902,39496,38938,20439,19922,19945,11940,11585,11478,6686,6457,5788
51.5,2412,2247,2197,62135,63959,68837,39909,39760,38652,20652,20016,19992,12019,11524,11443,6645,6451,5837
52,2466,2260,2200,63282,65829,70659,39832,39680,38464,20185,20168,19846,11880,11590,11453,6598,6469,5832
52.5,2462,2275,2212,65595,67611,72242,40008,39942,38528,20466,20066,19968,11966,11552,11468,6660,6490,5769
53,2426,2282,2191,66773,68274,73863,40065,39824,38744,20520,20122,20028,12015,11467,11444,6615,6465,5830
53.5,2463,2251,2225,67960,70834,74885,39845,39449,38594,20452,20046,19779,11983,11505,11438,6748,6479,5877
54,2498,2222,2199,69374,71770,76116,40074,39557,38787,20383,20276,19793,11912,11559,11539,6681,6522,5861
54.5,2455,2290,2195,70033,72938,76632,39910,39612,38921,20369,20118,19665,12002,11487,11527,6720,6448,5882
55,2506,2322,2262,71883,74634,77936,39803,39920,38620,20283,19965,19552,11911,11669,11494,6678,6454,5815
55.5,2463,2215,2196,73263,76231,79324,39683,39810,38701,20408,19771,19818,11926,11443,11434,6640,6485,5760
56,2484,2248,2203,74307,77205,80398,39726,39662,38732,20268,19962,19711,11908,11644,11515,6588,6378,5822
56.5,2454,2246,2174,75980,78806,81022,39898,39433,38434,20090,20118,19871,11844,11523,11529,6586,6354,5804
57,2453,2367,2252,76234,79105,82520,39744,39526,38665,20288,20032,19781,11882,11556,11557,6649,6450,5849
57.5,2429,2376,2252,77886,80495,83231,39462,39591,38706,20231,20067,19900,11885,11521,11505,6597,6380,5817
58,2434,2184,2178,78511,81390,83268,39645,39535,38716,20216,20141,19779,11760,11502,11363,6553,6322,5796
58.5,2421,2316,2240,78373,82088,83667,40024,39441,38699,20248,20041,19878,11887,11460,11459,6601,6329,5728
59,2465,2268,2220,80011,83186,84589,39982,39658,38479,20286,20178,19694,11857,11472,11452,6547,6438,5783
59.5,2456,2276,2239,79872,84128,84827,39636,39388,38442,20350,19925,19894,11866,11617,11513,6594,6422,5700
60,2464,2247,2178,80750,83694,84928,39974,39509,38295,20338,19889,19862,11984,11520,11455,6558,6402,5751
60.5,2512,2237,2180,81183,84868,85442,39756,39428,38605,20302,19853,19705,11868,11471,11388,6592,6394,5723
61,2456,2225,2206,81688,84477,85997,39678,39764,38606,20109,20191,19715,12074,11439,11396,6632,6346,5718
61.5,2463,2246,2156,82128,85134,86342,39216,39790,38739,20303,19891,19714,11907,11436,11454,6495,6434,5706
62,2462,2278,2218,82443,86122,86351,39750,39042,38816,20170,19882,19848,12015,11518,11564,6554,6255,5748
62.5,2416,2248,2190,82406,86387,86875,39652,39377,38229,20161,19833,19756,11998,11497,11399,6492,6335,5720
63,2452,2276,2170,83228,86520,86873,39320,39540,38301,20043,19979,19736,11788,11374,11414,6504,6356,5630
63.5,2430,2251,2221,84054,86820,86443,39586,39368,38297,20476,19941,19753,11957,11504,11373,6518,6316,5740
64,2448,2324,2294,83458,86707,87008,39481,39384,38561,20178,19902,19944,11872,11469,11302,6508,6309,5644
64.5,2438,2225,2164,84154,86993,87212,39614,39520,38303,20291,19960,19790,11902,11542,11458,6438,6272,5682
65,2481,2215,2193,83786,87325,87280,39642,39246,38771,20199,19803,19737,11868,11609,11425,6552,6345,5637
65.5,2440,2264,2172,84626,87923,87786,39373,39258,38450,20108,19766,19733,11790,11609,11268,6448,6322,5674
66,2405,2288,2212,84311,88067,87072,39484,39386,38250,20341,19858,19890,11766,11438,11526,6454,6308,5687
66.5,2426,2275,2293,84020,87463,87346,39235,39450,38188,20123,19733,19569,11617,11406,11423,6411,6250,5739
67,2459,2295,2241,84108,88214,87478,39039,39202,38400,20288,20003,19607,11862,11454,11245,6462,6356,5706
67.5,2500,2278,2243,84867,88312,88295,39033,38944,38488,20213,19852,19703,11720,11494,11400,6457,6204,5614
68,2443,2248,2170,84113,88570,88077,39357,39350,38460,20103,20002,19755,11839,11500,11416,6394,6277,5624
68.5,2453,2238,2209,85218,87494,88677,39303,39466,38307,20175,19832,19932,11709,11460,11426,6439,6204,5556
69,2471,2178,2160,85190,88424,88183,39597,39063,38142,20266,19843,19738,11869,11497,11411,6479,6282,5612
69.5,2477,2273,2199,84900,88419,87866,39454,39073,38269,20357,19698,19721,11871,11481,11300,6305,6270,5673
70,2461,2226,2192,84847,88749,88035,39528,38909,38292,20202,19835,19635,11919,11347,11378,6379,6226,5660
70.5,2451,2267,2245,84316,88886,87731,39711,39161,37878,20110,19789,19746,11840,11506,11366,6344,6344,5642
71,2458,2254,2248,84665,89447,87687,39454,39278,38287,19985,19752,19841,11900,11375,11363,6283,6311,5643
71.5,2525,2353,2316,85272,88890,88475,39270,39184,38105,20282,19797,19626,11917,11485,11404,6259,6252,5516
72,2420,2285,2176,84971,89249,88043,39126,39044,38044,20047,19797,19468,12019,11575,11325,6432,6258,5453
72.5,2511,2254,2220,85259,88590,88121,39357,39238,38418,20162,19858,19545,11808,11364,11482,6302,6307,5619
73,2482,2192,2145,84739,88505,88542,39227,39170,38348,20007,19632,19636,11863,11476,11416,6362,6174,5590
73.5,2464,2273,2173,85903,88493,88343,39175,39039,38137,20117,19671,19622,11887,11407,11366,6309,6210,5632
74,2432,2219,2184,84906,88900,87819,39006,38838,37954,20079,19740,19673,11776,11389,11274,6260,6272,5627
74.5,2424,2293,2200,85091,88780,87972,39013,39098,38096,20044,19685,19525,11866,11329,11434,6408,6209,5631
75,2483,2301,2187,85325,88508,88195,39067,39137,38036,20108,19922,19562,11832,11385,11394,6262,6203,5598
75.5,2458,2303,2274,84778,88923,87843,38966,39111,38146,19983,19815,19672,11698,11327,11426,6368,6175,5558
76,2439,2346,2254,84866,88354,87837,39225,39146,38133,20102,19852,19635,11784,11312,11381,6268,6196,5544
76.5,2448,2196,2178,84439,88794,87246,39396,38801,37828,20160,19688,19565,11834,11295,11336,6248,6142,5619
77,2424,2222,2159,85583,89166,87768,39057,38972,37971,20065,19839,19471,11746,11465,11340,6222,6153,5556
77.5,2469,2248,2211,85012,89012,87825,39178,38880,37740,19973,19784,19580,11804,11338,11314,6181,6280,5506
78,2399,2213,2184,85535,88218,87268,39386,38924,37989,20089,19838,19563,11904,11443,11354,6231,6168,5530
78.5,2436,2248,2212,84808,88209,87346,39044,38981,37998,20023,19758,19438,11770,11383,11457,6327,6187,5482
79,2459,2267,2174,84318,87962,87424,38944,38556,37658,19970,19744,19745,11796,11328,11216,6270,6113,5505
79.5,2421,2228,2152,85102,88274,87532,38865,38880,37865,20030,19623,19468,11678,11324,11328,6244,6235,5447
80,2461,2216,2248,84754,88143,87563,39066,38947,37846,20032,19720,19504,11687,11337,11358,6196,6088,5412
80.5,2470,2256,2235,85038,88417,88185,39094,38938,37973,20046,19844,19464,11646,11373,11243,6248,6188,5460
81,2462,2233,2185,84976,88501,87954,39076,38567,37895,20094,19620,19706,11725,11416,11500,6259,6176,5442
81.5,2460,2243,2214,85013,88743,87466,39001,38490,38121,20103,19806,19504,11898,11490,11407,6241,6135,5444
82,2452,2271,2198,84573,88754,87012,38801,38896,37920,20253,19730,19564,11806,11438,11359,6208,6106,5429
82.5,2438,2271,2199,84900,88337,87289,39048,38893,37910,19933,19625,19503,11724,11510,11308,6200,6110,5404
83,2466,2195,2159,84540,88284,87598,39028,38498,37577,19993,19856,19524,11704,11462,11395,6259,6136,5414
83.5,2447,2222,2136,84391,88020,87242,38963,38625,37781,19935,19724,19698,11758,11304,11182,6178,6109,5329
84,2481,2302,2286,84510,87591,88035,38655,38463,37963,19976,19555,19533,11783,11387,11249,6242,6156,5439
84.5,2496,2342,2252,84838,88340,87762,39012,38519,37770,19996,19619,19432,11750,11391,11284,6186,6132,5463
85,2412,2264,2140,84269,88958,86807,39143,38732,37475,19948,19764,19636,11852,11427,11402,6214,6111,5406
85.5,2432,2271,2174,84400,88035,87515,38826,38504,37736,20055,19612,19682,11755,11403,11415,6130,6098,5407
86,2481,2254,2218,84246,88531,87278,38746,38261,37610,19981,19674,19594,11748,11293,11228,6152,6140,5436
86.5,2433,2190,2151,84586,87760,86777,39070,38543,37643,19874,19406,19430,11662,11373,11262,6198,6200,5418
87,2447,2209,2189,83827,87700,86812,38783,38498,37446,19795,19544,19366,11830,11266,11303,6292,6087,5422
87.5,2463,2306,2179,84499,88188,87200,38767,38413,37782,20169,19686,19652,11775,11373,11280,6234,6134,5395
88,2448,2269,2220,84224,88265,87902,38789,38513,37560,19798,19582,19451,11686,11342,11407,6193,6060,5418
88.5,2405,2227,2215,84457,87820,87205,38771,38629,37692,20153,19550,19519,11609,11312,11297,6115,6091,5464
89,2458,2193,2216,84691,88065,87394,38811,38609,37701,19844,19650,19524,11916,11414,11506,6290,6090,5368
89.5,2454,2255,2185,84197,87755,87462,38753,38686,37927,19983,19736,19626,11847,11408,11330,6173,6084,5396
90,2459,2254,2145,84358,87668,86328,38324,38449,37465,19895,19573,19529,11745,11363,11334,6181,6194,5321
90.5,2450,2256,2209,83871,86891,86843,38547,38792,37436,19958,19559,19496,11816,11448,11363,6169,6124,5324
91,2461,2246,2159,83933,87807,86871,38877,38558,37677,19884,19638,19298,11701,11298,11337,6153,6074,5371
91.5,2439,2274,2173,84216,87667,86954,38904,38168,37750,19863,19542,19407,11745,11417,11304,6195,6098,5335
92,2452,2207,2206,84315,87538,86604,38840,38509,37317,19841,19545,19537,11694,11306,11294,6138,6014,5338
92.5,2421,2233,2176,84431,87263,86871,38632,38599,37610,20005,19504,19532,11702,11396,11242,6166,6068,5353
93,2434,2167,2172,83838,86911,86442,38740,38608,37451,19992,19503,19524,11722,11354,11372,6119,6093,5360
93.5,2475,2258,2264,83687,87401,86538,38742,38778,37336,19990,19543,19356,11757,11385,11321,6154,6108,5385
94,2454,2232,2185,83697,87145,86380,38552,38434,37230,19932,19677,19417,11688,11336,11224,6131,6041,5348
94.5,2409,2172,2234,83993,87770,86626,38925,38551,37419,19906,19572,19504,11740,11276,11280,6105,6055,5343
95,2412,2340,2242,84001,86555,86154,38432,38176,37625,19848,19615,19471,11683,11410,11285,6100,5941,5192
95.5,2446,2190,2193,83899,87712,86808,38942,38770,37507,19918,19662,19390,11556,11406,11331,6151,6004,5286
96,2393,2300,2212,83459,87407,87085,38658,38490,37347,19726,19345,19426,11806,11397,11250,6118,6074,5324
96.5,2411,2188,2219,83909,87039,86508,38945,38262,37509,19846,19509,19381,11747,11291,11257,6150,6104,5282
97,2464,2196,2160,84190,86962,86461,38372,38602,37385,19790,19485,19411,11821,11396,11408,6037,6086,5332
97.5,2471,2288,2144,84502,87052,86494,38496,38562,37463,19926,19449,19254,11779,11262,11272,6064,6086,5352
